_id,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,_fp,latitude,longitude,has_free_parking,free_daytime,free_halfday,free_time_ranges,has_short_term_parking,is_very_visitor_friendly,has_height_restriction,has_big_vehicle_restrictions
48,A27,BLK 108/109/110 ANG MO KIO STREET 11,28556.67,39153.3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,5.4,0,342b34801dee93e79833a1a75c2fe8d136e5e12f1aa164135e8bdec177c13f38,1.3703630515467693,103.8383206515405,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
49,A28,BLK 103/105/107 ANG MO KIO STREET 11,28461.3669,39295.5961,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,d536aa153f312b05b1352c5e415ff55945c5e6eb94d6f6bf90372bd536ed5628,1.3716499282813763,103.83746428814854,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
50,A29,BLK 347 ANG MO KIO AVENUE 3,29713.5035,38806.4544,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,1aadf7efbc5a2763b015f12b39a62814f0b1efacc44f8c22a3b74a40ec4cf9b4,1.3672262594201823,103.84871559664501,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
51,A30,BLK 129/134 ANG MO KIO STREET 12,29012.7631,39222.5981,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,b95f9a92271bfdd0cf884315218b6e917a35eac6658cfce5cd23b316342598b0,1.3709897466881407,103.84241897219825,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
52,A30A,BLK 133 ANG MO KIO STREET 12,29049.6606,39137.3556,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,0,0,0.0,0,06f89c25e9914b1063a607f3c91210f474056b6f5b6e2ad90010895003f12de8,1.3702188426869566,103.84275051934156,1,1,0,"[""7AM-10.30PM""]",1,0,0,0
53,A31,BLK 119/128 ANG MO KIO STREET 12,29155.32,39163.04,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,9e2327b76feeaa9c36d56cdf1e7939bdc44305650fd15a5854247a83931cb660,1.3704511192782494,103.84369994453257,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
54,A31A,BLK 125/126 ANG MO KIO STREET 12,29150.6699,39318.7539,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,0,0,0.0,0,032964b9230357ec4d797a202d0fd089be8365d14a38ac92889f0ae9e0186138,1.3718593403230517,103.84365816613547,1,1,0,"[""7AM-10.30PM""]",1,0,0,0
55,A33,BLK 253/254 ANG MO KIO STREET 21,28152.8391,39115.4784,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,1,0,4.5,0,25f768c891f9f2152f8b503f51c164313ae8b9576c5408348d06c65c9a569d54,1.3700210113414353,103.83469194577,0,0,0,,1,0,1,0
56,A34,BLK 422/425 ANG MO KIO STREET 42,30042.0,38931.43,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,3026dc78a181806e2efd187a3ec7eb616f5e08600e79c2dd755252234162ce20,1.368356473219034,103.85166737410135,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
57,A35,BLK 426/428/435 ANG MO KIO STREET 43,30310.66,38963.49,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,fb014b026b861c707d9c581f19af65d677b68bc733c78bd08fce5042a59144cb,1.3686463926053345,103.85408147411323,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
58,A36,BLK 436/443/445 ANG MO KIO STREET 43,30443.9088,38715.8847,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,9c50b0d6bca0c790c4930c3cf8233f6cf2ffb45d69b318ef36d0244cf65c14f4,1.3664071280973518,103.85527878732958,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
59,A37,BLK 446/449/453 ANG MO KIO STREET 43,30474.8188,38904.5192,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,c4ba9757d667d665f9fa6eafdd0061849232e5453649aa060ac410852a854a82,1.3681130684869152,103.85555655070138,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
60,A38,BLK 407/410/421 ANG MO KIO AVENUE 10,30367.0774,38445.7028,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,7e56a7caf7bc64d547370bb992f73ef4728b52d07b1d9289a35ddc87bf6777cd,1.3639637058040284,103.85458838271062,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
61,A39,BLK 401/405 ANG MO KIO AVENUE 10,30309.63,38134.69,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,61dff54cd7c0226be821b92bf72f8250d6b58933469299f95892e5d358e4d9f7,1.361151021658679,103.85407215463408,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
62,A4,BLK 217/220 ANG MO KIO AVENUE 1,28876.2363,38636.7578,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,02849c9013ef61479789207cf40fd52dba447b5ae6fdd91615f46485497c70a9,1.365691620587143,103.84119216501767,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
63,A40,BLK 471/476 ANG MO KIO STREET 44,30633.47,38267.95,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,55655010091a8042baded186a5a98f8e90ed87faa730c48780cfc4d7882df18a,1.362356150537859,103.8569820859847,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
64,A41,BLK 466/470 ANG MO KIO STREET 44,30627.96,38553.32,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,cd9e1bc99a84165a041f5e7bcce43943736bd4f74207caf03005807a7a909b0c,1.364936935305799,103.85693260004962,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
65,A42,BLK 461/465 ANG MO KIO STREET 44,30675.9559,38735.0223,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,8626ee8df598a02f9282365deffa13afce92808819668983aa831f5a0141d3c7,1.3665801816289644,103.85736389239304,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
66,A43,BLK 457/458/460 ANG MO KIO STREET 44,30887.78,38670.51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,65ed10c1abf0f9c5ffe17e4e2d01126ae32bc081170fbb661c6cd7fe8b1e8378,1.3659967355493308,103.85926727197639,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
67,A44,BLK 459/456 ANG MO KIO STREET 44,30856.9781,38804.1956,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,fde8e47567af1dd19323aef59c3f640a46603abe30fd778e68b9aa83cdaade03,1.367205743273234,103.8589905085286,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
68,A45,BLK 570/578 ANG MO KIO STREET 51,30438.53,39214.64,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,8ed7531970d36ef49bb4427bf0864c7c63f9cb4c1fe90292e03af7c402ec9eab,1.370917693067466,103.85523049600965,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
